t,hu
0.01,368
0.02,386
0.03,349
0.04,354
0.05,379
0.06,342
0.07,335
0.08,308
0.09,302
0.1,292
0.11,288
0.12,271
0.13,272
0.14,251
0.15,215
0.16,226
0.17,234
0.18,217
0.19,-458
0.2,-1325
0.21,-865
0.22,-783
0.23,-807
0.24,-822
0.25,-844
0.26,-875
0.27,-910
0.28,-918
0.29,-933
0.3,-934
0.31,-937
0.32,-967
0.33,-969
0.34,-970
0.35,-948
0.36,-964
0.37,-944
0.38,-942
0.39,-945
0.4,-937
0.41,-911
0.42,-925
0.43,-916
0.44,-900
0.45,-874
0.46,-879
0.47,-863
0.48,-858
0.49,-828
0.5,-930
0.51,-875
0.52,-789
0.53,-763
0.54,-725
0.55,-721
0.56,-681
0.57,-678
0.58,-656
0.59,-623
0.6,-597
0.61,-575
0.62,-550
0.63,-510
0.64,-487
0.65,-476
0.66,-459
0.67,-444
0.68,-409
0.69,-395
0.7,-374
0.71,-356
0.72,-327
0.73,-308
0.74,-301
0.75,-269
0.76,-256
0.77,-242
0.78,-232
0.79,-219
0.8,-198
0.81,-187
0.82,-171
0.83,-149
0.84,-136
0.85,-138
0.86,-118
0.87,-117
0.88,-117
0.89,-109
0.9,-96
0.91,-74
0.92,-68
0.93,-67
0.94,-60
0.95,-49
0.96,-42
0.97,-40
0.98,-34
0.99,-32
1,-33
1.01,-38
1.02,-29
1.03,-5
1.04,6
1.05,10
1.06,11
1.07,2
1.08,4
1.09,5
1.1,3
1.11,12
1.12,9
1.13,0
1.14,-1
1.15,4
1.16,4
1.17,5
1.18,8
1.19,4
1.2,5
1.21,6
1.22,2
1.23,4
1.24,12
1.25,10
1.26,17
1.27,16
1.28,14
1.29,16
1.3,13
1.31,12
1.32,8
1.33,10
1.34,13
1.35,11
1.36,5
1.37,6
1.38,7
1.39,6
1.4,9
1.41,3
1.42,11
1.43,6
1.44,4
1.45,8
1.46,4
1.47,11
1.48,14
1.49,12
1.5,7
1.51,4
1.52,-5
1.53,-10
1.54,-3
1.55,19
1.56,30
1.57,39
1.58,59
1.59,181
1.6,479
1.61,384
1.62,390
1.63,416
1.64,449
1.65,474
1.66,503
1.67,510
1.68,560
1.69,576
1.7,596
1.71,601
1.72,640
1.73,655
1.74,669
1.75,686
1.76,679
1.77,674
1.78,669
1.79,635
1.8,635
1.81,675
1.82,642
1.83,640
1.84,606
1.85,607
1.86,604
1.87,585
1.88,592
1.89,585
1.9,561
1.91,549
1.92,517
1.93,501
1.94,484
1.95,496
1.96,476
1.97,468
1.98,449
1.99,434
2,422
2.01,410
2.02,399
2.03,369
2.04,356
2.05,355
2.06,320
2.07,301
2.08,284
2.09,267
2.1,286
2.11,261
2.12,271
2.13,256
2.14,255
2.15,244
2.16,240
2.17,221
2.18,202
2.19,-422
2.2,-1308
2.21,-888
2.22,-821
2.23,-844
2.24,-861
2.25,-886
2.26,-889
2.27,-905
2.28,-926
2.29,-949
2.3,-941
2.31,-964
2.32,-951
2.33,-979
2.34,-963
2.35,-967
2.36,-967
2.37,-991
2.38,-974
2.39,-971
2.4,-960
2.41,-955
2.42,-940
2.43,-969
2.44,-937
2.45,-925
2.46,-920
2.47,-884
2.48,-879
2.49,-864
2.5,-827
2.51,-809
2.52,-782
2.53,-773
2.54,-736
2.55,-725
2.56,-706
2.57,-677
2.58,-664
2.59,-626
2.6,-596
2.61,-573
2.62,-536
2.63,-520
2.64,-506
2.65,-478
2.66,-468
2.67,-438
2.68,-419
2.69,-394
2.7,-385
2.71,-372
2.72,-346
2.73,-311
2.74,-302
2.75,-282
2.76,-258
2.77,-241
2.78,-229
2.79,-212
2.8,-198
2.81,-179
2.82,-182
2.83,-169
2.84,-155
2.85,-143
2.86,-123
2.87,-128
2.88,-120
2.89,-116
2.9,-103
2.91,-85
2.92,-74
2.93,-71
2.94,-64
2.95,-54
2.96,-49
2.97,-49
2.98,-28
2.99,-29
3,-31
3.01,-34
3.02,-29
3.03,-11
3.04,6
3.05,1
3.06,-6
3.07,1
3.08,0
3.09,-1
3.1,2
3.11,5
3.12,1
3.13,-1
3.14,2
3.15,6
3.16,5
3.17,8
3.18,5
3.19,9
3.2,16
3.21,16
3.22,11
3.23,13
3.24,10
3.25,17
3.26,12
3.27,11
3.28,16
3.29,7
3.3,9
3.31,7
3.32,8
3.33,9
3.34,2
3.35,7
3.36,6
3.37,7
3.38,9
3.39,7
3.4,14
3.41,14
3.42,13
3.43,15
3.44,14
3.45,9
3.46,5
3.47,6
3.48,2
3.49,11
3.5,10
3.51,2
3.52,-19
3.53,-22
3.54,-13
3.55,12
3.56,36
3.57,43
3.58,50
3.59,197
3.6,472
3.61,391
3.62,386
3.63,420
3.64,441
3.65,474
3.66,488
3.67,502
3.68,545
3.69,555
3.7,607
3.71,612
3.72,633
3.73,641
3.74,679
3.75,685
3.76,705
3.77,686
3.78,680
3.79,680
3.8,691
3.81,674
3.82,678
3.83,654
3.84,659
3.85,632
3.86,637
3.87,625
3.88,624
3.89,610
3.9,594
3.91,574
3.92,563
3.93,532
3.94,533
3.95,521
3.96,493
3.97,487
3.98,470
3.99,434
4,429
4.01,415
4.02,399
4.03,372
4.04,372
4.05,396
4.06,344
4.07,339
4.08,325
4.09,323
4.1,304
4.11,280
4.12,283
4.13,268
4.14,253
4.15,256
4.16,225
4.17,209
4.18,223
4.19,-432
4.2,-1327
4.21,-837
4.22,-777
4.23,-800
4.24,-839
4.25,-852
4.26,-863
4.27,-883
4.28,-905
4.29,-892
4.3,-935
4.31,-934
4.32,-965
4.33,-953
4.34,-962
4.35,-958
4.36,-950
4.37,-972
4.38,-974
4.39,-947
4.4,-948
4.41,-961
4.42,-939
4.43,-922
4.44,-910
4.45,-908
4.46,-896
4.47,-881
4.48,-860
4.49,-855
4.5,-822
4.51,-828
4.52,-819
4.53,-803
4.54,-765
4.55,-754
4.56,-736
4.57,-696
4.58,-698
4.59,-670
4.6,-640
4.61,-617
4.62,-600
4.63,-578
4.64,-533
4.65,-494
4.66,-478
4.67,-471
4.68,-446
4.69,-427
4.7,-403
4.71,-384
4.72,-365
4.73,-345
4.74,-310
4.75,-289
4.76,-285
4.77,-271
4.78,-253
4.79,-243
4.8,-220
4.81,-209
4.82,-193
4.83,-186
4.84,-174
4.85,-168
4.86,-152
4.87,-132
4.88,-129
4.89,-126
4.9,-114
4.91,-97
4.92,-85
4.93,-78
4.94,-75
4.95,-63
4.96,-49
4.97,-56
4.98,-48
4.99,-40
5,-39
5.01,-42
5.02,-35
5.03,-44
5.04,-36
5.05,-19
5.06,-7
5.07,-12
5.08,-4
5.09,0
5.1,-4
5.11,-4
5.12,-1
5.13,-3
5.14,-2
5.15,2
5.16,-3
5.17,5
5.18,-7
5.19,-6
5.2,-8
5.21,-2
5.22,-5
5.23,-9
5.24,-9
5.25,-5
5.26,-6
5.27,-4
5.28,-1
5.29,7
5.3,0
5.31,5
5.32,1
5.33,2
5.34,5
5.35,-1
5.36,2
5.37,-1
5.38,-10
5.39,-9
5.4,-4
5.41,-2
5.42,-4
5.43,-8
5.44,-8
5.45,-8
5.46,-8
5.47,-5
5.48,-6
5.49,-4
5.5,-7
5.51,-6
5.52,-1
5.53,-16
5.54,-27
5.55,-11
5.56,12
5.57,32
5.58,36
5.59,56
5.6,185
5.61,466
5.62,375
5.63,385
5.64,391
5.65,431
5.66,459
5.67,485
5.68,506
5.69,533
5.7,565
5.71,605
5.72,618
5.73,651
5.74,677
5.75,692
5.76,709
5.77,694
5.78,700
5.79,709
5.8,704
5.81,698
5.82,670
5.83,673
5.84,672
5.85,630
5.86,640
5.87,618
5.88,603
5.89,599
5.9,583
5.91,595
5.92,556
5.93,535
5.94,545
5.95,529
5.96,501
5.97,508
5.98,485
5.99,475
6,467
6.01,387
6.02,376
6.03,413
6.04,402
6.05,385
6.06,358
6.07,352
6.08,312
6.09,321
6.1,310
6.11,295
6.12,287
6.13,272
6.14,255
6.15,247
6.16,263
6.17,263
6.18,263
6.19,225
6.2,-435
6.21,-1321
6.22,-871
6.23,-806
6.24,-782
6.25,-817
6.26,-831
6.27,-863
6.28,-899
6.29,-898
6.3,-926
6.31,-927
6.32,-931
6.33,-933
6.34,-959
6.35,-957
6.36,-956
6.37,-942
6.38,-944
6.39,-936
6.4,-941
6.41,-939
6.42,-923
6.43,-904
6.44,-919
6.45,-901
6.46,-879
6.47,-879
6.48,-864
6.49,-853
6.5,-844
6.51,-820
6.52,-819
6.53,-793
6.54,-747
6.55,-741
6.56,-713
6.57,-702
6.58,-681
6.59,-641
6.6,-623
6.61,-588
6.62,-557
6.63,-556
6.64,-520
6.65,-515
6.66,-467
6.67,-464
6.68,-426
6.69,-433
6.7,-389
6.71,-372
6.72,-358
6.73,-334
6.74,-322
6.75,-293
6.76,-271
6.77,-255
6.78,-242
6.79,-234
6.8,-209
6.81,-191
6.82,-189
6.83,-166
6.84,-155
6.85,-153
6.86,-134
6.87,-126
6.88,-121
6.89,-114
6.9,-102
6.91,-94
6.92,-88
6.93,-71
6.94,-70
6.95,-56
6.96,-52
6.97,-44
6.98,-35
6.99,-36
7,-34
7.01,-26
7.02,-32
7.03,-29
7.04,-16
7.05,1
7.06,3
7.07,-5
7.08,-1
7.09,2
7.1,5
7.11,2
7.12,5
7.13,-3
7.14,-4
7.15,-6
7.16,0
7.17,1
7.18,0
7.19,-2
7.2,-2
7.21,-3
7.22,-3
7.23,-1
7.24,3
7.25,5
7.26,2
7.27,6
7.28,4
7.29,5
7.3,6
7.31,7
7.32,6
7.33,5
7.34,-4
7.35,-3
7.36,-1
7.37,-2
7.38,-4
7.39,-3
7.4,-2
7.41,4
7.42,2
7.43,-1
7.44,-1
7.45,9
7.46,5
7.47,10
7.48,8
7.49,7
7.5,2
7.51,7
7.52,2
